categoria,n,variable,pct
0,549,survived,61.61616161616161
1,342,survived,38.38383838383838
male,577,sex,64.75869809203144
female,314,sex,35.24130190796858
First,216,class,24.242424242424242
Second,184,class,20.65095398428732
Third,491,class,55.106621773288445
Solo,537,family_group,60.26936026936027
Pequeña (2-4),292,family_group,32.77216610549944
Grande (5+),62,family_group,6.958473625140292
Niño (<16),83,age_group,9.31537598204265
Joven (16-34),543,age_group,60.94276094276094
Adulto (35-59),239,age_group,26.823793490460158
Mayor (60+),26,age_group,2.9180695847362514
