row_id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_imputed,age_clean,embarked_imputed,embarked_clean,embark_town_clean,deck_known,deck_clean,who_clean,adult_male_clean,family_size,family_group,age_group,fare_log1p
1,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,False,22.0,False,S,Southampton,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),2.1102132003465894
2,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,False,38.0,False,C,Cherbourg,True,C,woman,False,2,Pequeña (2-4),Adulto (35-59),4.2805931204649
3,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,False,26.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.188856327665703
4,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,False,35.0,False,S,Southampton,True,C,woman,False,2,Pequeña (2-4),Adulto (35-59),3.9908341858524357
5,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,35.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Adulto (35-59),2.2027647577118348
6,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,True,25.0,False,Q,Queenstown,False,Unknown,man,True,1,Solo,Joven (16-34),2.246892662898172
7,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,False,54.0,False,S,Southampton,True,E,man,True,1,Solo,Adulto (35-59),3.967694202798607
8,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False,2.0,False,S,Southampton,False,Unknown,child,False,5,Grande (5+),Niño (<16),3.0944457464900235
9,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,False,27.0,False,S,Southampton,False,Unknown,woman,False,3,Pequeña (2-4),Joven (16-34),2.495953738718064
10,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,False,14.0,False,C,Cherbourg,False,Unknown,child,False,2,Pequeña (2-4),Niño (<16),3.436268471383741
11,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,False,4.0,False,S,Southampton,True,G,child,False,3,Pequeña (2-4),Niño (<16),2.8735646395797834
12,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,False,58.0,False,S,Southampton,True,C,woman,False,1,Solo,Adulto (35-59),3.3160025355989236
13,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,20.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348
14,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,False,39.0,False,S,Southampton,False,Unknown,man,True,7,Grande (5+),Adulto (35-59),3.4742929367327062
15,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,False,14.0,False,S,Southampton,False,Unknown,child,False,1,Solo,Niño (<16),2.180891922715322
16,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,False,55.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Adulto (35-59),2.833213344056216
17,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,False,2.0,False,Q,Queenstown,False,Unknown,child,False,6,Grande (5+),Niño (<16),3.405355391810819
18,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,True,30.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.6390573296152584
19,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,False,31.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),2.9444389791664403
20,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,True,21.5,False,C,Cherbourg,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1071782966514356
21,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False,35.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Adulto (35-59),3.295836866004329
22,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,False,34.0,False,S,Southampton,True,D,man,True,1,Solo,Joven (16-34),2.6390573296152584
23,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,False,15.0,False,Q,Queenstown,False,Unknown,child,False,1,Solo,Niño (<16),2.2004637699272855
24,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,False,28.0,False,S,Southampton,True,A,man,True,1,Solo,Joven (16-34),3.597312260588446
25,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False,8.0,False,S,Southampton,False,Unknown,child,False,5,Grande (5+),Niño (<16),3.0944457464900235
26,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,False,38.0,False,S,Southampton,False,Unknown,woman,False,7,Grande (5+),Adulto (35-59),3.4777725458882283
27,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,True,25.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1071782966514356
28,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,False,19.0,False,S,Southampton,True,C,man,True,6,Grande (5+),Joven (16-34),5.575949103146316
29,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1837114628556327
30,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.1855792552411137
31,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,False,40.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Adulto (35-59),3.357621598945279
32,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,True,35.0,False,C,Cherbourg,True,B,woman,False,2,Pequeña (2-4),Adulto (35-59),4.993969182787072
33,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.169053700369523
34,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False,66.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Mayor (60+),2.4423470353692043
35,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,False,28.0,False,C,Cherbourg,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),4.420896324687287
36,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,False,42.0,False,S,Southampton,False,Unknown,man,True,2,Pequeña (2-4),Adulto (35-59),3.970291913552122
37,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,True,25.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1076888046179385
38,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,21.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348
39,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,False,18.0,False,S,Southampton,False,Unknown,woman,False,3,Pequeña (2-4),Joven (16-34),2.9444389791664403
40,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,False,14.0,False,C,Cherbourg,False,Unknown,child,False,2,Pequeña (2-4),Niño (<16),2.5048481563289
41,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,False,40.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Adulto (35-59),2.348991465808201
42,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,False,27.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),3.091042453358316
43,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,True,25.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1855792552411137
44,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,False,3.0,False,C,Cherbourg,False,Unknown,child,False,4,Pequeña (2-4),Niño (<16),3.7513658711253766
45,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,False,19.0,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1837114628556327
46,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348
47,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,True,25.0,False,Q,Queenstown,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),2.803360380906535
48,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.169053700369523
49,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,True,25.0,False,C,Cherbourg,False,Unknown,man,True,3,Pequeña (2-4),Joven (16-34),3.1214482048688246
50,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,False,18.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),2.9338568698359038
51,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,False,7.0,False,S,Southampton,False,Unknown,child,False,6,Grande (5+),Niño (<16),3.705920919968788
52,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,False,21.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.174751721484161
53,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,False,49.0,False,C,Cherbourg,True,D,woman,False,2,Pequeña (2-4),Adulto (35-59),4.353230991152628
54,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False,29.0,False,S,Southampton,False,Unknown,woman,False,2,Pequeña (2-4),Joven (16-34),3.295836866004329
55,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,False,65.0,False,C,Cherbourg,True,B,man,True,2,Pequeña (2-4),Mayor (60+),4.142804513146981
56,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,True,40.0,False,S,Southampton,True,C,man,True,1,Solo,Adulto (35-59),3.597312260588446
57,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False,21.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.4423470353692043
58,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False,28.5,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1076888046179385
59,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,False,5.0,False,S,Southampton,False,Unknown,child,False,4,Pequeña (2-4),Niño (<16),3.3586377672433594
60,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,False,11.0,False,S,Southampton,False,Unknown,child,False,8,Grande (5+),Niño (<16),3.8691155044168695
61,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False,22.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Joven (16-34),2.1076888046179385
62,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,False,38.0,True,S,Southampton,True,B,woman,False,1,Solo,Adulto (35-59),4.394449154672439
63,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,False,45.0,False,S,Southampton,True,C,man,True,2,Pequeña (2-4),Adulto (35-59),4.436455632600354
64,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,False,4.0,False,S,Southampton,False,Unknown,child,False,6,Grande (5+),Niño (<16),3.3638415951183864
65,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,True,40.0,False,C,Cherbourg,False,Unknown,man,True,1,Solo,Adulto (35-59),3.357621598945279
66,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,True,25.0,False,C,Cherbourg,False,Unknown,man,True,3,Pequeña (2-4),Joven (16-34),2.7878344138303452
67,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,False,29.0,False,S,Southampton,True,F,woman,False,1,Solo,Joven (16-34),2.4423470353692043
68,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,False,19.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2146605719425225
69,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,False,17.0,False,S,Southampton,False,Unknown,woman,False,7,Grande (5+),Joven (16-34),2.188856327665703
70,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,False,26.0,False,S,Southampton,False,Unknown,man,True,3,Pequeña (2-4),Joven (16-34),2.2682524139135403
71,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False,32.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.4423470353692043
72,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,False,16.0,False,S,Southampton,False,Unknown,woman,False,8,Grande (5+),Joven (16-34),3.8691155044168695
73,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,False,21.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),4.310799125385514
74,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,False,26.0,False,C,Cherbourg,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),2.737880811060884
75,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,False,32.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),4.05171190165724
76,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,False,25.0,False,S,Southampton,True,F,man,True,1,Solo,Joven (16-34),2.157559320943788
77,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.1855792552411137
78,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,True,25.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348
79,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,False,0.83,False,S,Southampton,False,Unknown,child,False,3,Pequeña (2-4),Niño (<16),3.4011973816621555
80,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,False,30.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.600836116795061
81,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,False,22.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.302585092994046
82,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,False,29.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.3513752571634776
83,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,True,21.5,False,Q,Queenstown,False,Unknown,woman,False,1,Solo,Joven (16-34),2.1733302571367834
84,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,False,28.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),3.8732821771117156
85,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False,17.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.4423470353692043
