control,resultado
Filas base preparada = filas originales,True
La base preparada conserva las 15 columnas originales,True
Los valores de las columnas originales permanecen sin modificación,True
row_id existe y no tiene missing,True
row_id es numérico y representa valores enteros,True
row_id es único,True
row_id mantiene una secuencia consecutiva ascendente,True
"survived pertenece a {0,1}",True
survived no presenta missing,True
age_clean sin missing,True
fare sin missing,True
fare sin valores negativos,True
embarked_clean sin missing,True
family_size sin missing y >= 1,True
