variable,tipo,n_unicos,pct_missing,corr_survived,rango_tasas_survived
row_id,int64,891,0.0,-0.0050066607670664846,
survived,int64,2,0.0,,
pclass,int64,3,0.0,-0.3384810359610149,
sex,object,2,0.0,,0.5531300709799203
age,float64,88,19.865319865319865,-0.07722109457217759,
sibsp,int64,7,0.0,-0.03532249888573557,
parch,int64,7,0.0,0.08162940708348349,
fare,float64,248,0.0,0.2573065223849623,
embarked,object,3,0.22446689113355783,,0.21661490683229817
class,object,3,0.0,,0.3872671041713812
who,object,3,0.0,,0.5925841939983645
adult_male,bool,2,0.0,-0.5570800422053255,
deck,object,7,77.21661054994388,,0.2909090909090909
embark_town,object,3,0.22446689113355783,,0.21661490683229817
alive,object,2,0.0,,1.0
alone,bool,2,0.0,-0.203367085699892,
age_imputed,bool,2,0.0,-0.09219652324217216,
age_clean,float64,89,0.0,-0.05957936846149631,
embarked_imputed,bool,2,0.0,0.06009484737835679,
embarked_clean,object,3,0.0,,0.21456214064573204
embark_town_clean,object,3,0.0,,0.21456214064573204
deck_known,bool,2,0.0,0.319572125206361,
deck_clean,object,8,0.0,,0.4581571529245948
who_clean,object,3,0.0,,0.5925841939983645
adult_male_clean,bool,2,0.0,-0.5570800422053255,
family_size,int64,9,0.0,0.01663898928274527,
family_group,object,3,0.0,,0.4174768007070261
age_group,object,4,0.0,,0.3211306765523633
fare_log1p,float64,248,0.0,0.3298621286968072,
fare_log1p_f4,float64,248,0.0,0.3298621286968072,
age_z,float64,89,0.0,-0.05957936846149628,
fare_log1p_z,float64,248,0.0,0.3298621286968069,
is_minor,int8,2,0.0,0.1361069806731946,
sex_pclass,object,6,0.0,,0.8326384205040163
family_size_sq,float64,9,0.0,-0.0595830836252617,
has_family,int8,2,0.0,0.20336708569989198,
