control,resultado
Se conserva el número de filas de Fases 2-3,True
Las columnas originales permanecen sin modificación,True
row_id continúa siendo único,True
row_id conserva exactamente valores y orden de la base de entrada,True
row_id conserva una secuencia consecutiva ascendente,True
survived no presenta missing,True
fare_log1p_f4 coincide con np.log1p(fare),True
fare_log1p_f4 coincide con fare_log1p de Fases 2-3,True
age_z no presenta missing,True
fare_log1p_z no presenta missing,True
media de age_z aproximadamente cero,True
desviación estándar poblacional de age_z aproximadamente uno,True
media de fare_log1p_z aproximadamente cero,True
desviación estándar poblacional de fare_log1p_z aproximadamente uno,True
is_minor coincide con age_clean < 16,True
family_size_sq coincide con family_size ** 2,True
has_family coincide con family_size > 1,True
Selección conceptual coincide con insumos de la matriz,True
Matriz candidata conserva el número de filas,True
Matriz candidata sin valores faltantes,True
Matriz candidata contiene sólo valores finitos,True
Matriz candidata no contiene columnas duplicadas,True
Matriz candidata no incluye row_id,True
Matriz candidata no incluye survived,True
Matriz candidata no incluye alive,True
Matriz candidata no conserva variables categóricas sin codificar,True
Target conserva row_id único y ordenado como la base,True
Target contiene únicamente row_id y survived,True
