categoria,archivo,bytes,sha256
data_process,data\process\titanic_f4_matriz_caracteristicas.csv,52172,30daa426c3c9a0b7af95289a018745564c5b8efeccd30d0f52b25d8b033de496
data_process,data\process\titanic_f4_pipeline_final.csv,218598,7a6a864f7df3c50508608dbce30c044e924fbee98965dfe34c3e18bc0bd2671d
data_process,data\process\titanic_f4_target.csv,6146,57d2349e054a6f218026800f7981c8816a34d525bdde18112c95ce4c330572bd
outputs,outputs\00_entorno_ejecucion.csv,97,ad71d1704fa2dc30dc37e9e2882010ce35e33053b676718b2bda5b243eda334b
outputs,outputs\01_fuentes_entrada.csv,214,c2c00040c9e015d66ef0e790895c2d3fad6e52e0c29d3385fc64d6babb635814
outputs,outputs\02_revision_inicial_f4.csv,843,b8dd924d7f2497700d7208cf4ce0a50c604ab97c807bcf81e423444b12e9f64a
outputs,outputs\03_controles_entrada.csv,599,c39c465b631e58cb97dd4afeab70415953d9b9698c797187412647f5571c5d45
outputs,outputs\04_evidencia_eda_recalculada.csv,208,aff0a9b17556e0bf5023bb553a9c1be9dfd69304abf4725858ccaf1fe94d2098
outputs,outputs\05_auditoria_transformaciones.csv,1075,7289f4e8b34af17086207aa4c74e42c769d20e367bb479e1973c7c40e5715aa2
outputs,outputs\06_variables_derivadas.csv,645,523cef66d4b61a3f3a8c4c4ee3c9e2d68980abafc4733ebdbdaa32f01456801d
outputs,outputs\07_evidencia_family_size.csv,218,ad60743f9c7fea6d9f04537304c5f46ed03b610909afc11c8d92ed2f4d36dc55
outputs,outputs\08_evidencia_sex_pclass.csv,210,507c9037bf77fde550d4c591ebdb20638e2984bde28b546700605c838ffb385c
outputs,outputs\09_metricas_apoyo_seleccion.csv,1700,f9ee00169a98ef26b31bc3497e49d48f6de60514817605b04018ec2c2fca86f3
outputs,outputs\10_seleccion_preliminar_caracteristicas.csv,6192,fc7d4e17bcf8d42e761b7921ed0127d7cb94261ed3811c2fedb857d3b5217eae
outputs,outputs\11_auditoria_codificacion.csv,218,aa0601dfdd5ebd35d213b918638d6428dcb06aa2f942456ddfdfb6f17d830fa8
outputs,outputs\12_esquema_matriz_caracteristicas.csv,263,d60b6f6dc967f25bb49e2cbe9a54f1cbca806e6ce374c73b2d6f48b8816917b6
outputs,outputs\13_trazabilidad_pipeline.csv,1229,bc499b00506759ffa262316ed0ec13ac58d00ae0f70e63151d2327f6a9dd729b
outputs,outputs\14_validacion_pipeline_final.csv,1460,69896ff888063154cef15ac3f2a1b1a19826cd1935f12e3d45e416822f019cb8
outputs,outputs\15_resumen_dataset_final.csv,138,49bdae4254f1e90480df9dba75bf6043f7122abc021fac7b1e11fffc308eb6f9
outputs,outputs\manifest_pipeline.json,796,b528d6110a6a8b3d984a186a55c7ac43e1f79a421b99c581af4691fbe125e110
figures,figures\01_transformacion_fare.png,43404,843b04f6aca837723a39fc50dd18e6f490f304d00a82e6ffcfbdbf26a70cde22
figures,figures\02_variables_normalizadas.png,40393,09abb10f9d07aa38115da877acc6be44e7bf916770e076d4ba9b6f5b06490912
figures,figures\03_family_size_supervivencia.png,40088,9a617f7a73e805483d1345902d9f25b0550df4fca906e37e82ce504083dfeec8
figures,figures\04_interaccion_sex_pclass.png,46539,13b43074086c893a89dd13fc290c3cf04087beb69d636fa6c9348a6e914893cd
