row_id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_imputed,age_clean,embarked_imputed,embarked_clean,embark_town_clean,deck_known,deck_clean,who_clean,adult_male_clean,family_size,family_group,age_group,fare_log1p,fare_log1p_f4,age_z,fare_log1p_z,is_minor,sex_pclass,family_size_sq,has_family
1,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,False,22.0,False,S,Southampton,False,Unknown,man,True,2,Pequeña (2-4),Joven (16-34),2.110213200346589,2.1102132003465894,-0.534891162868889,-0.879740569393428,0,male_pclass_3,4.0,1
2,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,False,38.0,False,C,Cherbourg,True,C,woman,False,2,Pequeña (2-4),Adulto (35-59),4.2805931204649,4.2805931204649,0.6683917564561227,1.3612199269233836,0,female_pclass_1,4.0,1
3,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,False,26.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Joven (16-34),2.188856327665703,2.188856327665703,-0.23407043303763608,-0.7985399740528022,0,female_pclass_3,1.0,0
4,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,False,35.0,False,S,Southampton,True,C,woman,False,2,Pequeña (2-4),Adulto (35-59),3.990834185852436,3.9908341858524357,0.44277620908268306,1.0620380556287108,0,female_pclass_1,4.0,1
5,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,35.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Adulto (35-59),2.2027647577118348,2.2027647577118348,0.44277620908268306,-0.7841792430073969,0,male_pclass_3,1.0,0
6,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,True,25.0,False,Q,Queenstown,False,Unknown,man,True,1,Solo,Joven (16-34),2.246892662898172,2.246892662898172,-0.3092756154954493,-0.7386163019798166,0,male_pclass_3,1.0,0
7,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,False,54.0,False,S,Southampton,True,E,man,True,1,Solo,Adulto (35-59),3.967694202798607,3.967694202798607,1.8716746757811344,1.0381455622323272,0,male_pclass_1,1.0,0
8,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False,2.0,False,S,Southampton,False,Unknown,child,False,5,Grande (5+),Niño (<16),3.0944457464900235,3.0944457464900235,-2.0389948120251535,0.13649913806595412,1,male_pclass_3,25.0,1
9,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,False,27.0,False,S,Southampton,False,Unknown,woman,False,3,Pequeña (2-4),Joven (16-34),2.495953738718064,2.495953738718064,-0.15886525057982284,-0.48145578049281346,0,female_pclass_3,9.0,1
10,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,False,14.0,False,C,Cherbourg,False,Unknown,child,False,2,Pequeña (2-4),Niño (<16),3.436268471383741,3.436268471383741,-1.136532622531395,0.4894379098126232,1,female_pclass_2,4.0,1
11,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,False,4.0,False,S,Southampton,True,G,child,False,3,Pequeña (2-4),Niño (<16),2.873564639579784,2.8735646395797834,-1.8885844471095272,-0.09156500424402263,1,female_pclass_3,9.0,1
12,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,False,58.0,False,S,Southampton,True,C,woman,False,1,Solo,Adulto (35-59),3.316002535598924,3.3160025355989236,2.1724954056123873,0.3652609357040262,0,female_pclass_1,1.0,0
13,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,20.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.2027647577118348,2.2027647577118348,-0.6853015277845155,-0.7841792430073969,0,male_pclass_3,1.0,0
14,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,False,39.0,False,S,Southampton,False,Unknown,man,True,7,Grande (5+),Adulto (35-59),3.4742929367327062,3.4742929367327062,0.743596938913936,0.5286989276421438,0,male_pclass_3,49.0,1
15,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,False,14.0,False,S,Southampton,False,Unknown,child,False,1,Solo,Niño (<16),2.180891922715322,2.180891922715322,-1.136532622531395,-0.8067633807960332,1,female_pclass_3,1.0,0
16,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,False,55.0,False,S,Southampton,False,Unknown,woman,False,1,Solo,Adulto (35-59),2.833213344056216,2.833213344056216,1.9468798582389477,-0.13322852057373058,0,female_pclass_2,1.0,0
17,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,False,2.0,False,Q,Queenstown,False,Unknown,child,False,6,Grande (5+),Niño (<16),3.405355391810819,3.405355391810819,-2.0389948120251535,0.4575195394387211,1,male_pclass_3,36.0,1
18,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,True,30.0,False,S,Southampton,False,Unknown,man,True,1,Solo,Joven (16-34),2.6390573296152584,2.6390573296152584,0.06675029679361687,-0.33369847260903374,0,male_pclass_2,1.0,0
