variable,tipo,n_unicos,n_missing,pct_missing
row_id,int64,891,0,0.0
survived,int64,2,0,0.0
pclass,int64,3,0,0.0
sex,object,2,0,0.0
age,float64,88,177,19.865319865319865
sibsp,int64,7,0,0.0
parch,int64,7,0,0.0
fare,float64,248,0,0.0
embarked,object,3,2,0.22446689113355783
class,object,3,0,0.0
who,object,3,0,0.0
adult_male,bool,2,0,0.0
deck,object,7,688,77.21661054994388
embark_town,object,3,2,0.22446689113355783
alive,object,2,0,0.0
alone,bool,2,0,0.0
age_imputed,bool,2,0,0.0
age_clean,float64,89,0,0.0
embarked_imputed,bool,2,0,0.0
embarked_clean,object,3,0,0.0
embark_town_clean,object,3,0,0.0
deck_known,bool,2,0,0.0
deck_clean,object,8,0,0.0
who_clean,object,3,0,0.0
adult_male_clean,bool,2,0,0.0
family_size,int64,9,0,0.0
family_group,object,3,0,0.0
age_group,object,4,0,0.0
fare_log1p,float64,248,0,0.0
