variable,decision,criterio,justificacion,tipo,n_unicos,pct_missing,corr_survived,rango_tasas_survived
survived,objetivo,Variable objetivo,Resultado a explicar; se mantiene separado de la matriz X.,int64,2,0.0,,
row_id,descartar,Identificador,Clave técnica para trazabilidad; no posee significado predictivo y no se incorpora a X.,int64,891,0.0,-0.0050066607670664846,
age_z,seleccionar,Relevancia + escala,Edad preparada sin faltantes y estandarizada; conserva información continua y queda en escala comparable.,float64,89,0.0,-0.05957936846149628,
fare_log1p_z,seleccionar,Relevancia + transformación,La corrida calcula una asimetría de fare de 4.787 y de fare_log1p_f4 de 0.395; se prioriza la versión estandarizada como representación candidata.,float64,248,0.0,0.3298621286968069,
pclass,seleccionar,Relevancia + interpretabilidad,"Clase del pasajero; variable central del EDA previo, interpretable y no sustituida por otra representación seleccionada.",int64,3,0.0,-0.3384810359610149,
sex,seleccionar,Relevancia + interpretabilidad,Las tasas de supervivencia difieren entre categorías; el rango observado de tasas por sexo es 0.553.,object,2,0.0,,0.5531300709799203
embarked_clean,seleccionar,Consistencia + contexto,Puerto de embarque preparado sin faltantes; conserva una dimensión contextual no equivalente a las otras variables seleccionadas.,object,3,0.0,,0.21456214064573204
family_size,seleccionar,Relevancia + interpretabilidad,El EDA muestra un patrón no monótono por tamaño familiar: la tasa mínima observada es 0.000 y la máxima 0.724.,int64,9,0.0,0.01663898928274527,
family_size_sq,seleccionar,No linealidad,Término polinómico complementario a family_size para representar curvatura potencial sugerida por el patrón no monótono del EDA.,float64,9,0.0,-0.0595830836252617,
is_minor,seleccionar,Interpretabilidad + umbral,"Representación binaria explícita del umbral etario <16 años, coherente con la categorización de edad usada en fases previas.",int8,2,0.0,0.1361069806731946,
sex_pclass,revisar,Interacción + redundancia potencial,La combinación sexo-clase presenta un rango de tasas de supervivencia de 0.833; se deja en revisión por posible solapamiento con sex y pclass.,object,6,0.0,,0.8326384205040163
age_imputed,revisar,Trazabilidad de imputación,Indicador potencialmente informativo sobre el proceso de preparación; requiere evaluar si captura proceso de medición más que fenómeno.,bool,2,0.0,-0.09219652324217216,
family_group,revisar,Redundancia controlada,Agrupación interpretable derivada de family_size; puede duplicar información de la variable continua y del término cuadrático.,object,3,0.0,,0.4174768007070261
age_group,revisar,Redundancia controlada,"Categoriza age_clean; útil para comunicación, pero pierde resolución respecto de age_z.",object,4,0.0,,0.3211306765523633
has_family,revisar,Redundancia controlada,"Resume family_size en forma binaria; es interpretable, pero pierde granularidad frente a family_size.",int8,2,0.0,0.20336708569989198,
age,descartar,Sustitución por versión preparada,Presenta ausencias históricas; se conserva para trazabilidad y se sustituye por age_z derivada de age_clean.,float64,88,19.865319865319865,-0.07722109457217759,
age_clean,descartar,Sustitución por versión normalizada,"Se conserva en el dataset enriquecido, pero la representación candidata para modelamiento es age_z.",float64,89,0.0,-0.05957936846149631,
fare,descartar,Sustitución por transformación,La corrida registra asimetría de fare = 4.787; se prioriza la representación transformada y estandarizada.,float64,248,0.0,0.2573065223849623,
fare_log1p,descartar,Trazabilidad de fase previa,Transformación proveniente de Fases 2-3; se conserva sin modificación para contrastarla con la reconstrucción explícita de Fase 4.,float64,248,0.0,0.3298621286968072,
fare_log1p_f4,descartar,Sustitución por versión normalizada,Representación logarítmica reconstruida en Fase 4; se conserva en el dataset enriquecido y se prioriza fare_log1p_z en la matriz candidata.,float64,248,0.0,0.3298621286968072,
alive,descartar,Fuga de información,Codifica semánticamente el mismo resultado que survived y produciría fuga directa del objetivo.,object,2,0.0,,1.0
class,descartar,Redundancia,Equivalente semántico de pclass.,object,3,0.0,,0.3872671041713812
who,descartar,Redundancia/derivación,Resume información contenida en sexo y edad.,object,3,0.0,,0.5925841939983645
who_clean,descartar,Redundancia/derivación,Versión derivada de sexo y edad preparada.,object,3,0.0,,0.5925841939983645
adult_male,descartar,Redundancia/derivación,Derivada de sexo y edad.,bool,2,0.0,-0.5570800422053255,
adult_male_clean,descartar,Redundancia/derivación,Derivada de sexo y edad preparada.,bool,2,0.0,-0.5570800422053255,
alone,descartar,Redundancia,Se representa mediante family_size y variables derivadas.,bool,2,0.0,-0.203367085699892,
sibsp,descartar,Agregación,Componente incorporado en family_size.,int64,7,0.0,-0.03532249888573557,
parch,descartar,Agregación,Componente incorporado en family_size.,int64,7,0.0,0.08162940708348349,
embarked,descartar,Sustitución por versión preparada,"Se prioriza embarked_clean, que no presenta valores faltantes.",object,3,0.22446689113355783,,0.21661490683229817
embark_town,descartar,Redundancia,Equivalente semántico de embarked/embarked_clean.,object,3,0.22446689113355783,,0.21661490683229817
embark_town_clean,descartar,Redundancia,Equivalente semántico de embarked_clean.,object,3,0.0,,0.21456214064573204
deck,descartar,Calidad de datos,Presenta una proporción de ausencia muy elevada en la fuente.,object,7,77.21661054994388,,0.2909090909090909
deck_clean,descartar,Calidad de datos,La categoría de ausencia domina la variable; se conserva sólo para trazabilidad.,object,8,0.0,,0.4581571529245948
deck_known,descartar,Calidad de datos/derivación,Refleja principalmente disponibilidad del dato y no el fenómeno de interés.,bool,2,0.0,0.319572125206361,
embarked_imputed,revisar,Trazabilidad de imputación,Indicador de proceso; requiere evaluación antes de incorporarlo como predictor.,bool,2,0.0,0.06009484737835679,
